scope,lo,hi,cover,shift,count,sum,local_mean,residual,residual_rate,z
block,2000000,4000000,11,6,23805,-2765,-0.1111111111111111,-120,-0.005040957781978576,-0.7826086956521741
block,2000000,4000000,13,6,23805,-2359,-0.09090909090909091,-194.909090909091,-0.0081877374883046,-1.2685280213833663
block,2000000,4000000,17,6,23805,-1415,-0.06666666666666667,172,0.007225372820835959,1.117278917421281
block,2000000,4000000,19,6,23805,-1557,-0.058823529411764705,-156.70588235294122,-0.006582897809407319,-1.0174284645759135
block,2000000,4000000,5,8,11832,-4072,-0.3333333333333333,-128,-0.010818120351588911,-1.248122321981625
block,2000000,4000000,7,8,11832,-2420,-0.2,-53.59999999999991,-0.004530087897227849,-0.5029213731739994
block,2000000,4000000,11,8,11832,-1374,-0.1111111111111111,-59.333333333333485,-0.005014649537976123,-0.5488670795319358
block,2000000,4000000,13,8,11832,-1216,-0.09090909090909091,-140.36363636363626,-0.01186305243100374,-1.2957690203381393
block,2000000,4000000,17,8,11832,-830,-0.06666666666666667,-41.200000000000045,-0.0034820824881676847,-0.3796080254290653
block,2000000,4000000,19,8,11832,-750,-0.058823529411764705,-54,-0.004563894523326572,-0.49729873766455374
block,2000000,4000000,5,12,23776,-8056,-0.3333333333333333,-130.66666666666697,-0.005495737999102749,-0.8988178268526421
block,2000000,4000000,7,12,23776,-4732,-0.2,23.199999999999818,0.0009757738896366007,0.15356172157437
block,2000000,4000000,11,12,23776,-2724,-0.1111111111111111,-82.22222222222217,-0.0034582024824285906,-0.5365588100685516
block,2000000,4000000,13,12,23776,-2204,-0.09090909090909091,-42.545454545454504,-0.001789428606386882,-0.2770676581883875
block,2000000,4000000,17,12,23776,-1618,-0.06666666666666667,-32.933333333333394,-0.0013851502916105902,-0.2140590253715342
block,2000000,4000000,19,12,23776,-1550,-0.058823529411764705,-151.41176470588243,-0.006368260628612148,-0.983655223774956
block,2000000,4000000,5,18,23904,-8026,-0.3333333333333333,-58,-0.0024263721552878178,-0.3978954424626275
block,2000000,4000000,7,18,23904,-4692,-0.2,88.80000000000018,0.0037148594377510117,0.5861949317351433
block,2000000,4000000,11,18,23904,-2662,-0.1111111111111111,-6,-0.000251004016064257,-0.039049320065660066
block,2000000,4000000,13,18,23904,-2252,-0.09090909090909091,-78.90909090909099,-0.0033010831203602324,-0.5124999319772274
block,2000000,4000000,17,18,23904,-1666,-0.06666666666666667,-72.40000000000009,-0.0030287817938420385,-0.46932158209296637
block,2000000,4000000,19,18,23904,-1466,-0.058823529411764705,-59.88235294117658,-0.002505118513268766,-0.38798616899133676
block,2000000,4000000,5,24,23811,-7835,-0.3333333333333333,102,0.004283734408466675,0.7011123471823549
block,2000000,4000000,7,24,23811,-4947,-0.2,-184.80000000000018,-0.0077611188106337485,-1.2222992150234728
block,2000000,4000000,11,24,23811,-2679,-0.1111111111111111,-33.333333333333485,-0.0013999132053812728,-0.21736391301597918
block,2000000,4000000,13,24,23811,-1853,-0.09090909090909091,311.6363636363635,0.013087915821946306,2.0279692835731655
block,2000000,4000000,17,24,23811,-1513,-0.06666666666666667,74.40000000000009,0.0031246062744109903,0.48322719550084026
block,2000000,4000000,19,24,23811,-1291,-0.058823529411764705,109.6470588235295,0.0046048909673482635,0.7118046923463566
block,2000000,4000000,5,32,11874,-3934,-0.3333333333333333,24,0.00202122283981809,0.23360868279044858
block,2000000,4000000,7,32,11874,-2366,-0.2,8.800000000000182,0.0007411150412666483,0.08242302193528467
block,2000000,4000000,11,32,11874,-1460,-0.1111111111111111,-140.66666666666674,-0.011846611644489366,-1.2989432872402087
block,2000000,4000000,13,32,11874,-1090,-0.09090909090909091,-10.545454545454504,-0.0008881130659806724,-0.09717819852343998
block,2000000,4000000,17,32,11874,-752,-0.06666666666666667,39.60000000000002,0.00333501768569985,0.3642201035602457
block,2000000,4000000,19,32,11874,-904,-0.058823529411764705,-205.52941176470586,-0.01730919755471668,-1.8894183742357111
block,2000000,4000000,5,36,23892,-7924,-0.3333333333333333,40,0.0016742005692281935,0.2744795540933217
block,2000000,4000000,7,36,23892,-4746,-0.2,32.400000000000546,0.0013561024610748596,0.21393563999782103
block,2000000,4000000,11,36,23892,-2568,-0.1111111111111111,86.66666666666652,0.0036274345666610797,0.5641873653534871
block,2000000,4000000,13,36,23892,-1836,-0.09090909090909091,336,0.014063284781516826,2.1828057366558986
block,2000000,4000000,17,36,23892,-1522,-0.06666666666666667,70.79999999999995,0.0029633350075339007,0.459065076065003
block,2000000,4000000,19,36,23892,-1248,-0.058823529411764705,157.41176470588243,0.006588471651845071,1.0201490093801795
block,2000000,4000000,5,46,12423,-4213,-0.3333333333333333,-72,-0.005795701521371649,-0.6851655443986537
block,2000000,4000000,7,46,12423,-2609,-0.2,-124.39999999999964,-0.010013684295258765,-1.1391253618137371
block,2000000,4000000,11,46,12423,-1393,-0.1111111111111111,-12.666666666666742,-0.001019614156537611,-0.11435275054669626
block,2000000,4000000,13,46,12423,-1169,-0.09090909090909091,-39.63636363636351,-0.003190562958734888,-0.357094057988607
block,2000000,4000000,17,46,12423,-799,-0.06666666666666667,29.199999999999932,0.0023504789503340524,0.26256501493928236
block,2000000,4000000,19,46,12423,-727,-0.058823529411764705,3.764705882352928,0.0003030432168037453,0.03383533552585932
block,2000000,4000000,5,48,23913,-7973,-0.3333333333333333,-2,-0.00008363651570275582,-0.01371795029627971
block,2000000,4000000,7,48,23913,-4881,-0.2,-98.39999999999964,-0.004114916572575571,-0.6494451082955314
block,2000000,4000000,11,48,23913,-2601,-0.1111111111111111,56,0.002341822439677163,0.3643917292278945
block,2000000,4000000,13,48,23913,-2243,-0.09090909090909091,-69.09090909090901,-0.002889261451549743,-0.4486482079067799
block,2000000,4000000,17,48,23913,-1711,-0.06666666666666667,-116.79999999999995,-0.004884372517040938,-0.7569950867570192
block,2000000,4000000,19,48,23913,-1203,-0.058823529411764705,203.6470588235295,0.008516165216557082,1.319209553492233
block,2000000,4000000,5,54,23776,-7930,-0.3333333333333333,-4.66666666666697,-0.00019627635711082477,-0.03210063667331066
block,2000000,4000000,7,54,23776,-4822,-0.2,-66.80000000000018,-0.0028095558546433453,-0.44215185349862174
block,2000000,4000000,11,54,23776,-2628,-0.1111111111111111,13.777777777777828,0.0005794825781366852,0.08990985466013605
block,2000000,4000000,13,54,23776,-2252,-0.09090909090909091,-90.5454545454545,-0.0038082711366695197,-0.5896568110163123
block,2000000,4000000,17,54,23776,-1690,-0.06666666666666667,-104.9333333333334,-0.004413414087034547,-0.6820423197060616
block,2000000,4000000,19,54,23776,-1172,-0.058823529411764705,226.58823529411757,0.009530124297363626,1.4720434817331496
block,2000000,4000000,5,64,11820,-3848,-0.3333333333333333,92,0.0077834179357022,0.8975431779837546
block,2000000,4000000,7,64,11820,-2322,-0.2,42,0.003553299492385787,0.3942801704269163
block,2000000,4000000,11,64,11820,-1276,-0.1111111111111111,37.33333333333326,0.0031584884376762486,0.3455298293116847
block,2000000,4000000,13,64,11820,-1126,-0.09090909090909091,-51.454545454545496,-0.004353176434394712,-0.4752444676211523
block,2000000,4000000,17,64,11820,-782,-0.06666666666666667,6,0.0005076142131979696,0.05531077732657448
block,2000000,4000000,19,64,11820,-604,-0.058823529411764705,91.29411764705878,0.007723698616502435,0.8411757320234217
block,4000000,8000000,5,2,21758,-7490,-0.3333333333333333,-237.33333333333394,-0.010907865306247539,-1.706575529171827
block,4000000,8000000,7,2,21758,-4366,-0.2,-14.399999999999636,-0.0006618255354352255,-0.09963625360042463
block,4000000,8000000,11,2,21758,-2492,-0.1111111111111111,-74.4444444444448,-0.0034214746044877653,-0.5078323033376929
block,4000000,8000000,13,2,21758,-1974,-0.09090909090909091,4,0.0001838404265097895,0.0272303088534844
block,4000000,8000000,17,2,21758,-1536,-0.06666666666666667,-85.4666666666667,-0.003928057113092504,-0.5807036152559149
block,4000000,8000000,19,2,21758,-1220,-0.058823529411764705,59.88235294117635,0.002752199326278902,0.40666991776613104
block,4000000,8000000,5,6,43481,-14605,-0.3333333333333333,-111.33333333333394,-0.0025605053548293263,-0.566306715210384
block,4000000,8000000,7,6,43481,-8949,-0.2,-252.79999999999927,-0.0058140337158758834,-1.2373475172779789
block,4000000,8000000,11,6,43481,-4819,-0.1111111111111111,12.222222222221717,0.0002810934022267592,0.05897907130971123
block,4000000,8000000,13,6,43481,-3985,-0.09090909090909091,-32.18181818181802,-0.0007401351896648655,-0.15497543968198563
block,4000000,8000000,17,6,43481,-2831,-0.06666666666666667,67.73333333333312,0.001557768527249445,0.3255516770702016
block,4000000,8000000,19,6,43481,-2733,-0.058823529411764705,-175.294117647059,-0.004031510720706953,-0.8421127801032618
block,4000000,8000000,5,8,21719,-7051,-0.3333333333333333,188.66666666666606,0.008686710560645797,1.357849150862151
block,4000000,8000000,7,8,21719,-4335,-0.2,8.800000000000182,0.0004051751922280115,0.06094346502092615
block,4000000,8000000,11,8,21719,-2423,-0.1111111111111111,-9.777777777777828,-0.0004501946580311169,-0.06676022104897557
block,4000000,8000000,13,8,21719,-1771,-0.09090909090909091,203.4545454545455,0.009367583473205281,1.3862754955376164
block,4000000,8000000,17,8,21719,-1449,-0.06666666666666667,-1.066666666666606,-0.00004911214451248244,-0.007253975105747166
block,4000000,8000000,19,8,21719,-1339,-0.058823529411764705,-61.41176470588243,-0.0028275594965644106,-0.4174306576855395
block,4000000,8000000,5,12,43596,-14552,-0.3333333333333333,-20,-0.0004587576841912102,-0.10159747976353661
block,4000000,8000000,7,12,43596,-9024,-0.2,-304.7999999999993,-0.006991467107074027,-1.489896240177818
block,4000000,8000000,11,12,43596,-4966,-0.1111111111111111,-122,-0.002798421873566382,-0.5879413762717227
block,4000000,8000000,13,12,43596,-3806,-0.09090909090909091,157.27272727272748,0.0036075036075036123,0.756366278392915
block,4000000,8000000,17,12,43596,-2620,-0.06666666666666667,286.4000000000001,0.006569410037618132,1.374728516744489
block,4000000,8000000,19,12,43596,-2460,-0.058823529411764705,104.47058823529414,0.0023963342562458518,0.5012142335001141
block,4000000,8000000,5,18,43490,-14786,-0.3333333333333333,-289.33333333333394,-0.006652870391660932,-1.4715669582066724
block,4000000,8000000,7,18,43490,-8458,-0.2,240,0.005518510002299379,1.1745754554624597
block,4000000,8000000,11,18,43490,-4890,-0.1111111111111111,-57.77777777777828,-0.001328530185738751,-0.2787813047277698
block,4000000,8000000,13,18,43490,-3748,-0.09090909090909091,205.63636363636397,0.004728359706515612,0.9901643222950491
block,4000000,8000000,17,18,43490,-2928,-0.06666666666666667,-28.666666666666515,-0.0006591553613857557,-0.1377684405750231
block,4000000,8000000,19,18,43490,-2566,-0.058823529411764705,-7.764705882353155,-0.0001785400294861613,-0.037297780046713844
block,4000000,8000000,5,24,43502,-14442,-0.3333333333333333,58.66666666666606,0.0013485969993716625,0.298341083256277
block,4000000,8000000,7,24,43502,-8616,-0.2,84.39999999999964,0.0019401406831869715,0.4130020602008992
block,4000000,8000000,11,24,43502,-4804,-0.1111111111111111,29.555555555555657,0.0006794068216531574,0.1425876892931883
block,4000000,8000000,13,24,43502,-4120,-0.09090909090909091,-165.27272727272702,-0.0037991983649654504,-0.7956986914162241
block,4000000,8000000,17,24,43502,-2798,-0.06666666666666667,102.13333333333321,0.00234778477617887,0.4907724148717654
block,4000000,8000000,19,24,43502,-2258,-0.058823529411764705,300.9411764705883,0.006917869901857117,1.4453721419878116
block,4000000,8000000,5,32,21716,-7170,-0.3333333333333333,68.66666666666606,0.0031620310677226956,0.49423364917979445
block,4000000,8000000,7,32,21716,-4386,-0.2,-42.80000000000018,-0.0019708970344446573,-0.2964273257517341
block,4000000,8000000,11,32,21716,-2360,-0.1111111111111111,52.88888888888869,0.002435480239864095,0.3611370471783832
block,4000000,8000000,13,32,21716,-2062,-0.09090909090909091,-87.81818181818176,-0.004043939114854566,-0.5984068921898975
block,4000000,8000000,17,32,21716,-1516,-0.06666666666666667,-68.26666666666665,-0.0031436114692699694,-0.46428647333448053
block,4000000,8000000,19,32,21716,-1278,-0.058823529411764705,-0.5882352941175668,-0.00002708764478345767,-0.003998654119577115
block,4000000,8000000,5,36,43821,-14547,-0.3333333333333333,60,0.0013692065448072841,0.30400895015524076
block,4000000,8000000,7,36,43821,-8649,-0.2,115.20000000000073,0.0026288765660300024,0.5616628774661917
block,4000000,8000000,11,36,43821,-4841,-0.1111111111111111,28,0.0006389630542433993,0.13459049961940245
block,4000000,8000000,13,36,43821,-4085,-0.09090909090909091,-101.27272727272702,-0.0023110546832050163,-0.4857954309514294
block,4000000,8000000,17,36,43821,-3077,-0.06666666666666667,-155.5999999999999,-0.003550808972866888,-0.7449647107535821
block,4000000,8000000,19,36,43821,-2225,-0.058823529411764705,352.705882352941,0.00804878670849458,1.6878126528989101
block,4000000,8000000,5,46,22690,-7466,-0.3333333333333333,97.33333333333303,0.004289701777581888,0.6853629291442712
block,4000000,8000000,7,46,22690,-4598,-0.2,-60,-0.002644336712208021,-0.4065354160623664
block,4000000,8000000,11,46,22690,-2378,-0.1111111111111111,143.11111111111086,0.006307232750599861,0.9559905990970404
block,4000000,8000000,13,46,22690,-2044,-0.09090909090909091,18.727272727272975,0.0008253535798709993,0.12484160671252291
block,4000000,8000000,17,46,22690,-1590,-0.06666666666666667,-77.33333333333326,-0.003408256206845891,-0.5145371446361771
block,4000000,8000000,19,46,22690,-1410,-0.058823529411764705,-75.29411764705878,-0.0033183833251237893,-0.5007217747172771
block,4000000,8000000,5,48,43352,-14464,-0.3333333333333333,-13.33333333333394,-0.0003075598203850789,-0.06792199427119608
block,4000000,8000000,7,48,43352,-8586,-0.2,84.39999999999964,0.0019468536630374523,0.4137159466856964
block,4000000,8000000,11,48,43352,-4980,-0.1111111111111111,-163.1111111111113,-0.0037624818027106317,-0.788272712782614
block,4000000,8000000,13,48,43352,-3954,-0.09090909090909091,-12.909090909090992,-0.00029777382610008746,-0.06225771146133489
block,4000000,8000000,17,48,43352,-2790,-0.06666666666666667,100.13333333333321,0.0023097742510918345,0.4819936919651458
block,4000000,8000000,19,48,43352,-2768,-0.058823529411764705,-217.88235294117658,-0.005025889300174769,-1.048262778252079
block,4000000,8000000,5,54,43581,-14537,-0.3333333333333333,-10,-0.00022945779123930153,-0.05080748125465523
block,4000000,8000000,7,54,43581,-8823,-0.2,-106.79999999999927,-0.002450609210435724,-0.522140091030149
block,4000000,8000000,11,54,43581,-4931,-0.1111111111111111,-88.66666666666697,-0.0020345257489884803,-0.4273751854231145
block,4000000,8000000,13,54,43581,-4019,-0.09090909090909091,-57.09090909090901,-0.0013099953899843742,-0.27461257791678145
block,4000000,8000000,17,54,43581,-2987,-0.06666666666666667,-81.59999999999991,-0.0018723755765126984,-0.3917498266977754
block,4000000,8000000,19,54,43581,-2377,-0.058823529411764705,186.58823529411757,0.004281412434182731,0.8953407252209239
block,4000000,8000000,5,64,21712,-7272,-0.3333333333333333,-34.66666666666697,-0.001596659297469923,-0.24953900016095187
block,4000000,8000000,7,64,21712,-4464,-0.2,-121.59999999999945,-0.005600589535740579,-0.8422636213564434
block,4000000,8000000,11,64,21712,-2474,-0.1111111111111111,-61.55555555555566,-0.0028350937525587535,-0.42035368218706565
block,4000000,8000000,13,64,21712,-2028,-0.09090909090909091,-54.18181818181802,-0.0024954779928987665,-0.3692374317590722
block,4000000,8000000,17,64,21712,-1380,-0.06666666666666667,67.4666666666667,0.003107344632768363,0.45888788082392246
block,4000000,8000000,19,64,21712,-1210,-0.058823529411764705,67.17647058823536,0.0030939789327669195,0.45668836247404626
cumulative,0,1000000,5,2,8167,-2773,-0.3333333333333333,-50.66666666666697,-0.006203828415166765,-0.5946580695361896
cumulative,0,1000000,7,2,8168,-1652,-0.2,-18.399999999999864,-0.002252693437806056,-0.20778985592327587
cumulative,0,1000000,11,2,8168,-852,-0.1111111111111111,55.55555555555554,0.006801610621395145,0.6185390832061276
cumulative,0,1000000,13,2,8168,-724,-0.09090909090909091,18.545454545454618,0.0022705012910693703,0.206054299016054
cumulative,0,1000000,17,2,8168,-592,-0.06666666666666667,-47.4666666666667,-0.005811296114920017,-0.5263784730664751
cumulative,0,1000000,19,2,8168,-534,-0.058823529411764705,-53.52941176470591,-0.0065535518810854445,-0.5933176718450099
cumulative,0,1000000,5,6,16385,-5387,-0.3333333333333333,74.66666666666606,0.004557013528633876,0.6186995526143869
cumulative,0,1000000,7,6,16385,-3327,-0.2,-50,-0.003051571559353067,-0.3986678049658708
cumulative,0,1000000,11,6,16384,-1854,-0.1111111111111111,-33.55555555555566,-0.002048068576388895,-0.26378614422067914
cumulative,0,1000000,13,6,16384,-1464,-0.09090909090909091,25.454545454545496,0.0015536221590909116,0.19969051575709212
cumulative,0,1000000,17,6,16384,-1018,-0.06666666666666667,74.26666666666665,0.004532877604166666,0.581501999004767
cumulative,0,1000000,19,6,16385,-947,-0.058823529411764705,16.82352941176464,0.001026764077617616,0.13165779170216918
cumulative,0,1000000,5,8,8241,-2801,-0.3333333333333333,-54,-0.006552602839461231,-0.6309283814326867
cumulative,0,1000000,7,8,8242,-1636,-0.2,12.400000000000091,0.001504489201650096,0.13940224360215256
cumulative,0,1000000,11,8,8240,-896,-0.1111111111111111,19.555555555555543,0.0023732470334412066,0.21677244119614436
cumulative,0,1000000,13,8,8241,-575,-0.09090909090909091,174.18181818181824,0.021136005118531517,1.9267036700847606
cumulative,0,1000000,17,8,8242,-578,-0.06666666666666667,-28.533333333333303,-0.0034619428941195466,-0.3149948510084237
cumulative,0,1000000,19,8,8241,-497,-0.058823529411764705,-12.235294117647072,-0.0014846856106840278,-0.13501348080041045
cumulative,0,1000000,5,12,16377,-5539,-0.3333333333333333,-80,-0.004884899554252916,-0.6630542661673797
cumulative,0,1000000,7,12,16377,-3307,-0.2,-31.59999999999991,-0.0019295353239298962,-0.2520195847138847
cumulative,0,1000000,11,12,16377,-1841,-0.1111111111111111,-21.333333333333485,-0.00130263988113412,-0.16774093547043667
cumulative,0,1000000,13,12,16378,-1400,-0.09090909090909091,88.90909090909099,0.005428568256752411,0.6976181937262346
cumulative,0,1000000,17,12,16376,-1112,-0.06666666666666667,-20.26666666666665,-0.0012375834554632786,-0.15872511836663547
cumulative,0,1000000,19,12,16376,-1164,-0.058823529411764705,-200.70588235294122,-0.012256099313198657,-1.5711182152844276
cumulative,0,1000000,5,18,16450,-5400,-0.3333333333333333,83.33333333333303,0.005065856129685899,0.6891473080249616
cumulative,0,1000000,7,18,16451,-3153,-0.2,137.20000000000027,0.008339918545985063,1.0917478458250793
cumulative,0,1000000,11,18,16450,-1840,-0.1111111111111111,-12.222222222222399,-0.0007429922323539453,-0.09588810601623231
cumulative,0,1000000,13,18,16450,-1376,-0.09090909090909091,119.4545454545455,0.007261674495717052,0.9352372388913516
cumulative,0,1000000,17,18,16451,-1107,-0.06666666666666667,-10.266666666666652,-0.0006240755374546625,-0.08022330696251058
cumulative,0,1000000,19,18,16450,-932,-0.058823529411764705,35.64705882352939,0.00216699445735741,0.27841551244208534
cumulative,0,1000000,5,24,16341,-5481,-0.3333333333333333,-34,-0.0020806560186035126,-0.28210829961485423
cumulative,0,1000000,7,24,16341,-3203,-0.2,65.20000000000027,0.003989963894498518,0.5205622420370999
cumulative,0,1000000,11,24,16342,-1790,-0.1111111111111111,25.7777777777776,0.0015773943077822543,0.2029038970377764
cumulative,0,1000000,13,24,16341,-1497,-0.09090909090909091,-11.454545454545496,-0.0007009696747166939,-0.08997888498407748
cumulative,0,1000000,17,24,16341,-1205,-0.06666666666666667,-115.59999999999991,-0.007074230463251938,-0.9063287757613885
cumulative,0,1000000,19,24,16341,-1017,-0.058823529411764705,-55.76470588235293,-0.0034125638505815388,-0.43699128763869566
cumulative,0,1000000,5,32,8195,-2729,-0.3333333333333333,2.666666666666515,0.0003254016676835284,0.03124427952522717
cumulative,0,1000000,7,32,8196,-1618,-0.2,21.200000000000045,0.00258662762323085,0.23900075316411604
cumulative,0,1000000,11,32,8195,-875,-0.1111111111111111,35.55555555555554,0.00433868890244729,0.39521234860275106
cumulative,0,1000000,13,32,8196,-642,-0.09090909090909091,103.09090909090912,0.012578197790496477,1.1434612631489136
cumulative,0,1000000,17,32,8196,-526,-0.06666666666666667,20.399999999999977,0.0024890190336749607,0.22583770014350438
cumulative,0,1000000,19,32,8196,-376,-0.058823529411764705,106.11764705882354,0.012947492320500676,1.1741925335527785
cumulative,0,1000000,5,36,16440,-5460,-0.3333333333333333,20,0.0012165450121654502,0.1654456490020896
cumulative,0,1000000,7,36,16440,-3286,-0.2,2,0.00012165450121654502,0.015920014997934794
cumulative,0,1000000,11,36,16440,-1960,-0.1111111111111111,-133.33333333333348,-0.00811030008110301,-1.0463701596227348
