family,scale,X,H,signed,shiftwiseAbsolute,cancellationRatio,zeroModeContribution,centeredSigned,zeroModeFraction,zeroModeIdentityError
lambda-minus-one,one-third,8192,20,-6468.635109589358,158769.66723120125,0.04074226029692243,3.230224102962184,-6471.865333696225,-0.0004993671846126508,3.905370249412954e-9
local-z11,one-third,8192,20,-3151.734765625002,160691.871484375,0.01961352952399626,-0.003618192672729492,-3151.7311474323274,0.0000011480003686198478,-2.2737367544323206e-12
lambda-minus-local-correlation,one-third,8192,20,-3316.9003439643593,5453.042699762648,0.6082659767378554,3.2338422956349127,-3320.1341862638988,-0.0009749591366286949,3.904460754711181e-9
divisor-minus-log,five-twelfths,8192,43,448088.39481808286,7399754.373341937,0.060554495758987414,469696.5666117513,-21608.171793659596,1.0482230114494284,-8.818460628390312e-9
lambda-minus-one,five-twelfths,8192,43,-8117.704635726852,347237.3069646175,0.023377973716844955,6.480930688699195,-8124.185566424159,-0.0007983698569391098,8.608367352280766e-9
local-z11,five-twelfths,8192,43,-1663.1542514534895,350682.52598110464,0.0047426208272011335,0.0073810399964798325,-1663.1616324934844,-0.0000044379768082420975,-1.5916157281026244e-12
lambda-minus-local-correlation,five-twelfths,8192,43,-6454.550384273359,14564.470458362788,0.4431709620151149,6.4735496487027175,-6461.02393393068,-0.0010029435457620179,8.618371794000268e-9
divisor-minus-log,half-over-two,8192,45,470213.1245812357,7726750.499692176,0.0608552229815067,491536.17734084936,-21323.05275960495,1.0453476341788708,-8.716597221791744e-9
lambda-minus-one,half-over-two,8192,45,-8903.207500565979,362970.7450510673,0.02452871924792,6.8111147519546185,-8910.018615326542,-0.0007650180849454126,8.609276846982539e-9
local-z11,half-over-two,8192,45,-2223.7357638888893,366490.378125,0.006067651148894373,0.008024406433105471,-2223.743788295321,-0.0000036085251509704175,-1.3642420526593924e-12
lambda-minus-local-correlation,half-over-two,8192,45,-6679.47173667709,15406.683796875499,0.4335437674155225,6.803090345521513,-6686.274827031218,-0.0010185072433446542,8.605638868175447e-9
divisor-minus-log,one-third,16384,25,437978.28879184846,9807948.027853565,0.04465544551704751,546017.0677929668,-108038.77900110974,1.24667610647811,-8.64383764564991e-9
lambda-minus-one,one-third,16384,25,-12384.30491111107,395893.31604278437,0.03128192472381295,1.791422932803468,-12386.096334018352,-0.00014465268302593407,-2.5522240321151912e-8
local-z11,one-third,16384,25,-4960.540625000002,405248.3593749999,0.012240742029530897,-0.0011048126220703134,-4960.539520187381,2.2272020442737788e-7,0
lambda-minus-local-correlation,one-third,16384,25,-7423.764286111067,14701.878673838057,0.5049534451213796,1.792527745425538,-7425.5568138309745,-0.00024145806309868064,-2.5517692847643048e-8
divisor-minus-log,five-twelfths,16384,57,1197732.9386344221,22699570.36157694,0.05276456424311,1244376.2632599357,-46643.324625513626,1.0389430090139236,1.0913936421275139e-10
lambda-minus-one,five-twelfths,16384,57,-9114.494527924495,920334.6495469162,0.00990345689191599,4.7150812177189225,-9119.209609188858,-0.000517316808219382,4.66443452751264e-8
local-z11,five-twelfths,16384,57,-2810.562225877223,931111.674616228,0.0030185017570912103,0.017450131868061266,-2810.5796760090834,-0.00000620876908804778,-7.73070496506989e-12
lambda-minus-local-correlation,five-twelfths,16384,57,-6303.9323020472775,32683.194705423277,0.19287992984973518,4.697631085850859,-6308.62993317976,-0.0007451905986244883,4.6631612349301577e-8
divisor-minus-log,half-over-two,16384,64,1363549.3437484512,25516143.251542468,0.05343869292104024,1397193.0915899177,-33643.747841467746,1.0246736562895322,1.2951204553246498e-9
lambda-minus-one,half-over-two,16384,64,-8905.584937818538,1034288.5119500728,0.008610348887108618,5.578507252790493,-8911.163445124817,-0.0006264054850682242,5.3489202400669456e-8
local-z11,half-over-two,16384,64,-2497.554931640625,1045768.3376464844,0.002388248756183808,0.02306954562664032,-2497.5780011862516,-0.000009236852144623745,0
lambda-minus-local-correlation,half-over-two,16384,64,-6408.030006177902,37278.352122209646,0.17189681521249794,5.555437707163852,-6413.5854439385685,-0.0008669493903442905,5.350284482119605e-8
divisor-minus-log,one-third,32768,32,1173462.476635527,28964660.775571104,0.04051359295135365,1397949.082516588,-224486.6058810599,1.1913027560324672,-1.0477378964424133e-9
