feature,key,L,eta,split,distinct_h,cell_count,mean_z,std_z
omega,3,256,0.4396908254015113,train,43,43,-0.008795340900071435,0.03647951980351428
omega,3,256,0.4396908254015113,holdout,73,73,0.0053269203796343905,0.038855653594852754
omega,3,512,0.4946521785767002,train,43,43,-0.005270622996321905,0.03423562026618637
omega,3,512,0.4946521785767002,holdout,73,73,0.0018317219920094008,0.03822077905581375
omega,3,1024,0.5496135317518891,train,43,43,-0.00806885154507805,0.04853717215714725
omega,3,1024,0.5496135317518891,holdout,73,73,0.0027605437230249575,0.05453762514436899
omega,3,2048,0.604574884927078,train,43,43,-0.010639730571827648,0.06902494326777948
omega,3,2048,0.604574884927078,holdout,73,73,0.0037332977887988474,0.07714648293520754
omega,3,4096,0.6595362381022669,train,43,43,-0.01382574233523779,0.09793650085127255
omega,3,4096,0.6595362381022669,holdout,73,73,0.005636168649571027,0.10953724199781817
omega,3,8192,0.7144975912774558,train,43,43,-0.017465804355272074,0.1394557482269948
omega,3,8192,0.7144975912774558,holdout,73,73,0.008329555592789443,0.15462217515580393
omega,4,256,0.4396908254015113,train,1,1,-0.09833617747440274,0
omega,4,256,0.4396908254015113,holdout,5,5,-0.049146757679180884,0.03041662275258624
omega,4,512,0.4946521785767002,train,1,1,-0.03354224474859261,0
omega,4,512,0.4946521785767002,holdout,5,5,-0.031094567429100738,0.02965882009813536
omega,4,1024,0.5496135317518891,train,1,1,-0.0467679794520548,0
omega,4,1024,0.5496135317518891,holdout,5,5,-0.0453125,0.04247540251795117
omega,4,2048,0.604574884927078,train,1,1,-0.06386134052597577,0
omega,4,2048,0.604574884927078,holdout,5,5,-0.06562303267841652,0.062355042187062754
omega,4,4096,0.6595362381022669,train,1,1,-0.08639705882352941,0
omega,4,4096,0.6595362381022669,holdout,5,5,-0.09721020761245674,0.09091700227980279
omega,4,8192,0.7144975912774558,train,1,1,-0.11552512104911802,0
omega,4,8192,0.7144975912774558,holdout,5,5,-0.13649797020602156,0.12857407877721064
bigomega,0,256,0.4396908254015113,train,1,1,0.022397610921501707,0
bigomega,0,512,0.4946521785767002,train,1,1,-0.030369329704806856,0
bigomega,0,1024,0.5496135317518891,train,1,1,-0.04398544520547945,0
bigomega,0,2048,0.604574884927078,train,1,1,-0.06644313074938028,0
